date,symbol,name,currency,price,eps,pe_now,pe_mean,pe_median,pe_std,pe_sigma,price_low,price_fair,price_high,group,forward_pe,pb,pcf,peg,dividend_yield,ev_ebitda,wk52_low,wk52_high,wk52_pos,iv,iv_days,iv_expiry,iv_status,iv_rank,ivr_days
2026-09-03,INTC,Intel Corporation,USD,90.05,-2.09,,,,,,,,,無法判讀,44.1393,5.1875,31.8702,1.36,,28.811,23.72,142.35,55.9133,0.5523,30.0,2026-10-02,ok,22.3812,1
2026-09-03,ISRG,"Intuitive Surgical, Inc.",USD,371.88,8.71,42.6958,46.3318,46.3766,3.7352,-0.9734,371.0161,403.5497,436.0833,均值~低估,30.8082,7.2438,35.9477,1.61,,29.985,328.57,603.88,15.7314,0.3489,30.0,2026-10-02,ok,41.442,1
2026-09-03,LITE,Lumentum Holdings Inc.,USD,870.58,-92.98,,,,,,,,,無法判讀,26.1426,16.6097,103.9274,0.63,,96.013,130.97,1085.68,77.4696,0.698,30.0,2026-10-02,ok,27.1111,1
2026-09-03,META,"Meta Platforms, Inc.",USD,592.85,26.55,22.3296,22.5686,22.4637,1.2465,-0.1918,566.1032,599.197,632.2908,均值~低估,16.9581,5.7828,10.033,0.77,0.36,13.642,520.26,790.8,26.8315,0.3659,30.0,2026-10-02,ok,41.068,1
2026-09-03,MRVL,"Marvell Technology, Inc.",USD,206.48,3.03,68.1452,73.1034,70.6782,14.2391,-0.3482,178.359,221.5033,264.6477,均值~低估,30.7452,9.7696,82.2923,1.12,0.11,65.202,61.44,329.88,54.0307,0.5575,30.0,2026-10-02,ok,19.6423,1
2026-09-03,MSFT,Microsoft Corporation,USD,496.82,17.94,27.6934,23.7929,23.0881,2.4916,1.5655,382.1453,426.8438,471.5422,顯著高估,21.0756,8.3408,20.1665,1.63,0.73,19.421,349.2,553.72,72.1788,0.2667,30.0,2026-10-02,ok,29.4381,1
2026-09-03,MU,"Micron Technology, Inc.",USD,956.08,44.25,21.6063,20.248,21.0828,3.475,0.3909,742.2071,895.976,1049.7449,高估~均值,6.1673,10.7166,20.9945,0.14,0.06,15.165,117.3,1255.0,73.7259,0.5994,30.0,2026-10-02,ok,22.4826,1
2026-09-03,NBIS,Nebius Group N.V.,USD,204.09,-0.08,,,,,,,,,無法判讀,-68.0867,5.4104,8.5551,0.48,,220.341,63.26,299.86,59.5224,0.7881,30.0,2026-10-02,ok,12.6295,1
2026-09-03,NFLX,"Netflix, Inc.",USD,82.73,3.18,26.0157,25.0444,25.0676,2.144,0.453,72.8233,79.6413,86.4594,高估~均值,21.6519,11.4252,28.7768,1.49,,23.36,65.08,126.71,28.6387,0.3408,30.0,2026-10-02,ok,31.4014,1
2026-09-03,NOW,"ServiceNow, Inc.",USD,136.72,1.6,85.45,67.9431,66.05,9.271,1.8883,93.8752,108.7089,123.5426,顯著高估,27.3139,11.2936,26.6295,1.03,,52.305,81.24,194.726,48.8871,0.5104,30.0,2026-10-02,ok,44.6974,1
2026-09-03,NVDA,NVIDIA Corporation,USD,224.41,7.91,28.3704,26.6455,26.7155,1.2538,1.3758,200.848,210.7656,220.6831,顯著高估,14.5681,23.6645,40.3307,0.56,0.46,25.919,164.07,236.54,83.262,0.3347,30.0,2026-10-02,ok,8.3789,2
2026-09-03,ORCL,Oracle Corporation,USD,145.75,5.84,24.9572,28.0348,25.9409,5.3572,-0.5745,132.4367,163.723,195.0093,均值~低估,13.3396,11.1771,13.1291,0.8,1.42,17.974,114.5,345.72,13.5153,0.6628,30.0,2026-10-02,ok,56.9715,1
2026-09-03,PANW,"Palo Alto Networks, Inc.",USD,328.48,1.16,283.1724,260.1696,274.2759,52.3027,0.4398,241.1256,301.7968,362.4679,高估~均值,66.9138,9.6521,63.4838,4.01,,198.262,139.57,398.88,72.851,0.4902,30.0,2026-10-02,ok,45.3337,1
2026-09-03,PLTR,Palantir Technologies Inc.,USD,169.46,1.17,144.8376,121.8347,115.7222,17.2696,1.332,122.3412,142.5466,162.7521,顯著高估,73.2249,41.6568,114.6604,1.73,,158.967,106.37,207.52,62.3727,0.4775,30.0,2026-10-02,ok,20.7411,1
2026-09-03,QQQ,"Invesco QQQ Trust, Series 1",USD,709.24,23.3862,30.3273,30.4072,30.5113,0.8502,-0.0941,691.2268,711.1102,730.9937,均值~低估,,1.9824,,,0.44,,555.6,748.65,79.5856,0.1935,30.0,2026-10-02,ok,30.2595,1
2026-09-03,RKLB,Rocket Lab Corporation,USD,63.1,-0.28,,,,,,,,,無法判讀,1419.892,10.8085,,,,-234.202,37.57,151.0,22.5073,0.5803,30.0,2026-10-02,ok,0.0,2
2026-09-03,SNDK,Sandisk Corporation,USD,1553.4,73.77,21.0573,21.3346,21.1581,3.9762,-0.0697,1280.5251,1573.8525,1867.18,均值~低估,5.8681,14.7087,19.4882,,,17.474,50.65,2354.39,65.2309,0.7104,30.0,2026-10-02,ok,18.7108,1
2026-09-03,SOXX,iShares PHLX SOX Semiconductor ,USD,501.44,12.4661,40.2244,43.5227,42.9778,3.6642,-0.9001,496.8786,542.5569,588.2352,均值~低估,,1.1824,,,0.29,,238.75,655.95,62.965,0.4085,30.0,2026-10-02,ok,37.3981,1
2026-09-03,SPCX,Space Exploration Technologies ,USD,140.71,-1.1,,,,,,,,,無法判讀,87.6802,14.5723,107.6133,,,625.638,104.83,225.64,29.6995,0.4946,30.0,2026-10-02,ok,2.6985,1
2026-09-03,SPOT,Spotify Technology S.A.,USD,559.36,18.45,30.3176,26.2563,26.3374,1.8718,2.1697,449.8929,484.4282,518.9635,顯著高估,31.0393,11.7407,34.4668,1.54,,39.266,405.0,745.0,45.4,0.4316,30.0,2026-10-02,ok,39.2603,1
2026-09-03,SPY,State Street SPDR S&P 500 ETF T,USD,765.16,29.685,25.776,25.2016,25.1609,0.5278,1.0883,732.4428,748.1098,763.7767,顯著高估,,1.7827,,,1.01,,629.28,779.37,90.5323,0.1325,30.0,2026-10-02,ok,14.4672,1
2026-09-03,TRV,"The Travelers Companies, Inc.",USD,366.18,37.19,9.8462,8.9997,8.9002,0.9,0.9405,301.2276,334.6997,368.1718,高估~均值,12.1217,2.3062,6.9269,2.36,1.37,6.961,252.26,398.7,77.793,0.2094,16.0,2026-09-18,ok,24.8457,1
2026-09-03,TSLA,"Tesla, Inc.",USD,357.01,1.07,333.6542,356.3812,365.3365,36.4446,-0.6236,342.3322,381.3279,420.3236,均值~低估,165.3911,16.2314,75.4631,4.26,,128.276,297.38,498.83,29.6004,0.4334,30.0,2026-10-02,ok,20.9953,1
2026-09-03,TSM,Taiwan Semiconductor Manufactur,USD,415.5,13.5,30.7778,31.0564,30.96,1.3258,-0.2102,401.3631,419.2613,437.1595,均值~低估,19.0063,86.6524,0.8179,0.78,1.05,4.663,228.6,479.0,74.6406,0.3284,30.0,2026-10-02,ok,11.1693,1
2026-09-03,UBER,"Uber Technologies, Inc.",USD,76.45,4.56,16.7654,16.1239,16.1864,0.6479,0.9901,70.5703,73.5248,76.4793,高估~均值,17.4112,5.7095,14.9802,6.38,,21.957,65.41,101.99,30.1804,0.4031,30.0,2026-10-02,ok,53.9037,1
2026-09-03,VRT,"Vertiv Holdings, LLC",USD,256.7,4.43,57.9458,68.4914,68.7438,7.3258,-1.4395,270.9639,303.4171,335.8703,顯著低估,28.2125,20.7703,29.4635,0.86,0.1,36.872,118.7,379.935,52.826,0.5396,30.0,2026-10-02,ok,15.7342,1
2026-09-03,XLI,State Street Industrial Select ,USD,172.78,6.0317,28.6455,29.5469,29.6336,0.8118,-1.1104,173.3204,178.2169,183.1133,顯著低估,,1.7562,,,1.15,,147.14,188.19,62.4604,0.2656,30.0,2026-10-02,ok,75.1891,1
2026-09-03,XLV,State Street Health Care Select,USD,172.95,5.6107,30.8248,28.0846,28.3305,1.7081,1.6042,147.9923,157.5758,167.1593,顯著高估,,1.3591,,,1.56,,133.73,176.6,91.4859,0.1877,30.0,2026-10-02,ok,61.2275,1
